;,CEC Title-24 Residential Compliance Ruleset,,,,,,,,,,,
;,Central HPWH Compressors look-up table,,,,,,,,,,,
;,Last modified:,,08/03/26 - SAC,,,,,,,,,
;,,,,,,,,,,,,
;,Source Data:,,"Ben Larson, Paul Kintner, Chip Barnaby & Bruce Wilcox - 2020 CHPWH dev team",,,,,,,,,
;,,,,,,,,,,,,
;,Mod history:,,"08/03/26 - SAC - added new AOSmith, Laars, Nyle & Watts (and placeholder Rheem) models -AND- CHPWHCompTypeRpt column (to avoid having to edit rule logic for each added CHPWH) (dev #965)",,,,,,,,,
;,,,03/04/26 - SAC - added new IceAir models (dev #736),,,,,,,,,
;,,,12/18/24 - SAC - added new compressor type: Mitsubishi QAHV-N136TAU-HPB  (40kW cap @ 40F),,,,,,,,,
;,,,02/23/22 - SAC - added Nyle multi pass compressor types,,,,,,,,,
;,,,02/03/22 - SAC - updated Colmac CxV-5 compressor OutputCap from 10 to 14 kW,,,,,,,,,
;,,,01/18/22 - SAC - added multi pass compressor types,,,,,,,,,
;,,,"6/22/21 - SAC - added 'generic' 5, 11, 20, 26, 40 & 45 kW compressor types",,,,,,,,,
;,,,8/31/20 - SAC - created initial table from existing ruleset data and compressor capacity (kW) data from Ben Larson,,,,,,,,,
;,,,,,,,,,,,,
;,Independents:,,,,,,,,CSE Simulation Compressor Types,,,
;,,1,CHPWHCompType - numeric value that maps to DHWSys:CHPWHCompType,,,,,,TypeID,Name,OutputCap,
;,,,,,,,,,48,Colmac CxV-5,14,
;,Dependents:,,,,,,,,49,Colmac CxA-10,21,
;,,1,OutputCap - output heating capacity @ ambient 40 deg F,,,,,,50,Colmac CxA-15,29,
;,,,,,,,,,45,Colmac CxA-20,41,
;,,,,,,,,,51,Colmac CxA-25,49,
,TABLE T24RCHPWHCompressor,,,,,,,,52,Colmac CxA-30,57,
,,CHPWHCompType,OutputCap,CHPWHCompTypeRpt,,old name,new name,,53,Nyle C25A,5,
,,48,14,ColmacCxV5,;,Colmac CxV-5,Colmac CxV-5  (14kW cap @ 40F),,54,Nyle C60A,11,
,,49,21,ColmacCxA10,;,Colmac CxA-10,Colmac CxA-10  (21kW cap @ 40F),,55,Nyle C90A,20,
,,50,29,ColmacCxA15,;,Colmac CxA-15,Colmac CxA-15  (29kW cap @ 40F),,56,Nyle C125A,26,
,,45,41,ColmacCxA20,;,Colmac CxA-20,Colmac CxA-20  (41kW cap @ 40F),,46,Nyle C185A,40,
,,51,49,ColmacCxA25,;,Colmac CxA-25,Colmac CxA-25  (49kW cap @ 40F),,47,Nyle C250A,45,
,,52,57,ColmacCxA30,;,Colmac CxA-30,Colmac CxA-30  (57kW cap @ 40F),,67,Nyle C60A-CWP,11,
,,53,5,NyleC25A,;,Nyle C25A,Nyle C25A  (5kW cap @ 40F),,68,Nyle C90A-CWP,20,
,,54,11,NyleC60A,;,Nyle C60A,Nyle C60A  (11kW cap @ 40F),,69,Nyle C125A-CWP,26,
,,55,20,NyleC90A,;,Nyle C90A,Nyle C90A  (20kW cap @ 40F),,70,Nyle C185A-CWP,40,
,,56,26,NyleC125A,;,Nyle C125A,Nyle C125A  (26kW cap @ 40F),,71,Nyle C250A-CWP,45,
,,46,40,NyleC185A,;,Nyle C185A,Nyle C185A  (40kW cap @ 40F),,57,Sanden GS3-45HPA-US,4,
,,47,45,NyleC250A,;,Nyle C250A,Nyle C250A  (45kW cap @ 40F),,5,Nyle C60A  (MP),11,
,,67,11,NyleC60A_C,;,Nyle C60A-C,Nyle C60A-C  (11kW cap @ 40F),,6,Nyle C90A  (MP),20,
,,68,20,NyleC90A_C,;,Nyle C90A-C,Nyle C90A-C  (20kW cap @ 40F),,7,Nyle C125A  (MP),26,
,,69,26,NyleC125A_C,;,Nyle C125A-C,Nyle C125A-C  (26kW cap @ 40F),,8,Nyle C185A  (MP),41,
,,70,40,NyleC185A_C,;,Nyle C185A-C,Nyle C185A-C  (40kW cap @ 40F),,9,Nyle C250A  (MP),46,
,,71,45,NyleC250A_C,;,Nyle C250A-C,Nyle C250A-C  (45kW cap @ 40F),,25,Nyle C60A-CWP  (MP),11,
,,57,4,SandenGS345HPAUS,;,Sanden GS3-45HPA-US,Sanden GS3-45HPA-US  (4kW cap @ 40F),,26,Nyle C90A-CWP  (MP),20,
,,10,40,MitsubishiQAHVN136TAUHPB,;,Mitsubishi QAHV-N136TAU-HPB,Mitsubishi QAHV-N136TAU-HPB  (40kW cap @ 40F),,27,Nyle C125A-CWP  (MP),26,
,,153,5,LochinvarAHP025,;,Lochinvar AHP025-*-***N****,Lochinvar AHP025-*-***N****  (5kW cap @ 40F),,28,Nyle C185A-CWP  (MP),41,
,,154,11,LochinvarAHP060,;,Lochinvar AHP060-*-***N****,Lochinvar AHP060-*-***N****  (11kW cap @ 40F),,29,Nyle C250A-CWP  (MP),46,
,,155,20,LochinvarAHP090,;,Lochinvar AHP090-*-***N****,Lochinvar AHP090-*-***N****  (20kW cap @ 40F),,11,IceAir_ccHPWH275D_MP,70,03/04/26 - SAC (dev #736)
,,156,26,LochinvarAHP125,;,Lochinvar AHP125-*-***N****,Lochinvar AHP125-*-***N****  (26kW cap @ 40F),,12,IceAir_ccHPWH550D_MP,140,03/04/26 - SAC (dev #736)
,,146,40,LochinvarAHP185,;,Lochinvar AHP185-*-***N****,Lochinvar AHP185-*-***N****  (40kW cap @ 40F),,91,Generic-5,5,
,,147,45,LochinvarAHP250,;,Lochinvar AHP250-*-***N****,Lochinvar AHP250-*-***N****  (45kW cap @ 40F),,92,Generic-11,11,
,,253,5,AOSmithAHPA25,;,A. O. Smith AHPA-25-*-***N****,A. O. Smith AHPA-25-*-***N****  (5kW cap @ 40F),,93,Generic-20,20,
,,254,11,AOSmithAHPA60,;,A. O. Smith AHPA-60-*-***N****,A. O. Smith AHPA-60-*-***N****  (11kW cap @ 40F),,94,Generic-26,26,
,,255,20,AOSmithAHPA90,;,A. O. Smith AHPA-90-*-***N****,A. O. Smith AHPA-90-*-***N****  (20kW cap @ 40F),,95,Generic-40,40,SAC 12/18/24
,,256,26,AOSmithAHPA125,;,A. O. Smith AHPA-125-*-***N****,A. O. Smith AHPA-125-*-***N****  (26kW cap @ 40F),,96,Generic-45,45,
,,246,40,AOSmithAHPA185,;,A. O. Smith AHPA-185-*-***N****,A. O. Smith AHPA-185-*-***N****  (40kW cap @ 40F),,10,MITSUBISHI_QAHV_N136TAU_HPB_SP,40,
,,247,45,AOSmithAHPA250,;,A. O. Smith AHPA-250-*-***N****,A. O. Smith AHPA-250-*-***N****  (45kW cap @ 40F),,13,AOSMITH_CAHP2CO-6_SP,10,08/03/26 - SAC (dev #965)
,,353,5,StateSHPA25,;,State SHPA-25-*-***N****,State SHPA-25-*-***N****  (5kW cap @ 40F),,14,AOSMITH_CAHP3CO-6_SP,15,
,,354,11,StateSHPA60,;,State SHPA-60-*-***N****,State SHPA-60-*-***N****  (11kW cap @ 40F),,15,LAARS_ECHV0325_SP,79,
,,355,20,StateSHPA90,;,State SHPA-90-*-***N****,State SHPA-90-*-***N****  (20kW cap @ 40F),,16,NYLE_E360_SP,48,
,,356,26,StateSHPA125,;,State SHPA-125-*-***N****,State SHPA-125-*-***N****  (26kW cap @ 40F),,17,NYLE_E180_SP,33,
,,346,40,StateSHPA185,;,State SHPA-185-*-***N****,State SHPA-185-*-***N****  (40kW cap @ 40F),,18,WATTS_AEGIS_500A_SP,109,
,,347,45,StateSHPA250,;,State SHPA-250-*-***N****,State SHPA-250-*-***N****  (45kW cap @ 40F),,19,Rheem_RMHPHDA068VD_SP,20,
,,167,11,LochinvarAHP060C,;,Lochinvar AHP060-*-***C****,Lochinvar AHP060-*-***C****  (11kW cap @ 40F),,20,Rheem_RMHPHDA120VD_SP,24,
